View Selection Tool on TI.com,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NOTE: The table below does not have formatting applied.,,,,,,,,,,,,,,
Select the entire sheet (ctrl+A) and apply,,,,,,,,,,,,,,
"""Auto-fit column width"" to make all information visible",,,,,,,,,,,,,,
(Format -> Column -> Autofit column width),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Part number,Description,订购和质量,Digital audio interface,ADC channels,DAC channels,Analog inputs,Analog outputs,"Sampling rate
(Max)
(kHz)",Rating,"ADC SNR
(Typ)
(dB)","Approx. price
(US$)","DAC SNR
(Typ)
(dB)",Package size: mm2:W x L (PKG),Status
TLV320AIC3109-Q1,汽车类低功耗 96kHz 单声道音频编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",1,1,4,6,96,Automotive,92,1.40 | 1ku,102,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3268,TLV320AIC3268 超低功耗立体声音频编解码器,订购和质量,"I2S,
TDM,
DSP,
L&R,
PCM",2,2,8,7,192,Catalog,95,4.38 | 1ku,105,81 mm2: 9 x 9 (VQFN|64),ACTIVE
TLV320AIC3254-Q1,采用 miniDSP 和 PowerTune™ 技术的汽车类超低功耗立体声音频编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Automotive,93,3.58 | 1ku,100,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3263,具有 miniDSP、D 类扬声器、DirectPath 耳机和 4 个数字麦克风的低功耗立体声音频编解码器,订购和质量,"I2S,
TDM,
DSP,
L&R,
PCM",2,2,8,7,192,Catalog,93,4.62 | 1ku,101,25 mm2: 5 x 5 (DSBGA|81),ACTIVE
TLV320AIC3212,具有集成 D 类扬声器、听筒驱动器和 DirectPath™ 的低功耗立体声编解码器,订购和质量,"I2S,
TDM,
DSP,
L&R,
PCM",2,2,8,7,192,Catalog,93,3.04 | 1ku,100,25 mm2: 5 x 5 (DSBGA|81),ACTIVE
TLV320AIC3262,具有 miniDSP 立体声 D 类扬声器、DirectPath 耳机的低功耗立体声编解码器,订购和质量,"I2S,
TDM,
DSP,
L&R,
PCM",2,2,8,7,192,Catalog,93,4.36 | 1ku,101,25 mm2: 5 x 5 (DSBGA|81),ACTIVE
PCM3070,"具有嵌入式 miniDSP 的立体声音频编解码器				",订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Catalog,93,2.60 | 1ku,100,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3206,具有 DirectPath™ 耳机放大器的极低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Catalog,93,2.42 | 1ku,100,"12 mm2: 3.25 x 3.75 (DSBGA|42), 25 mm2: 5 x 5 (WQFN|40)",ACTIVE
TLV320AIC3256,具有 miniDSP 和 DirectPath™ 耳机放大器的极低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Catalog,93,3.13 | 1ku,100,"12 mm2: 3.25 x 3.75 (DSBGA|42), 25 mm2: 5 x 5 (WQFN|40)",ACTIVE
TLV320AIC3104-Q1,具有 6 个音频输入引脚和 6 个音频输出驱动器的汽车类低功耗立体声音频编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",2,2,6,6,96,Automotive,92,1.77 | 1ku,102,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3253,具有 miniDSP 和立体声数字麦克风输入的超低功耗立体声音频编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",0,2,4,2,192,Catalog, --- ,2.60 | 1ku,100,"See datasheet (DSBGA), 16 mm2: 4 x 4 (VQFN|24)",ACTIVE
TLV320AIC3120,具有 miniDSP 和 2.5W 单声道 D 类扬声器放大器的低功耗音频编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",1,1,3,2,192,Catalog,90,1.98 | 1ku,95,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3110,具有 1.3W 立体声 D 类扬声器放大器的低功耗音频编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",1,2,3,4,192,Catalog,90,1.78 | 1ku,95,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3100,具有音频处理和单声道 D 类放大器的低功耗音频编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",1,2,3,3,192,Catalog,90,1.72 | 1ku,95,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3111,具有嵌入式 miniDSP 和立体声 D 类扬声器放大器的低功耗音频编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",1,2,3,4,192,Catalog,90,2.60 | 1ku,95,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3106-Q1,具有 10 个输入、7 个输出、耳机放大器和增强数字效果的汽车低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",2,2,10,7,96,Automotive,92,2.03 | 1ku,102,49 mm2: 7 x 7 (VQFN|48),ACTIVE
TLV320AIC3007,具有集成 D 类放大器的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,7,6,96,Catalog,87,2.07 | 1ku,93,25 mm2: 5 x 5 (WQFN|40),ACTIVE
TLV320AIC3107,具有集成单声道 D 类放大器的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",2,2,7,6,96,Catalog,92,2.24 | 1ku,97,"12 mm2: 3.25 x 3.75 (DSBGA|42), 25 mm2: 5 x 5 (WQFN|40)",ACTIVE
PCM3168A,具有 96/192kHz 采样速率的 6 通道输入/8 通道输出、24 位多通道音频编解码器,订购和质量,"R,
L,
I2S,
TDM,
DSP",6,8,6,8,192,Catalog,107,3.92 | 1ku,112,144 mm2: 12 x 12 (HTQFP|64),ACTIVE
PCM3168A-Q1,具有 96/192kHz 采样速率的 6 通道输入/8 通道输出、24 位多通道音频编解码器,订购和质量,"R,
L,
I2S,
TDM,
DSP",6,8,6,8,192,Automotive,107,4.90 | 1ku,112,144 mm2: 12 x 12 (HTQFP|64),ACTIVE
TLV320AIC3204,采用 PowerTune™ 技术的极低功耗立体声音频编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Catalog,93,1.80 | 1ku,100,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3254,具有可编程 miniDSP 的极低功耗立体声音频编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Catalog,93,3.04 | 1ku,100,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC34,低功耗 4 通道编解码器,订购和质量,"L,
R,
I2S,
DSP",4,4,12,14,96,Catalog,92,3.48 | 1ku,100,36 mm2: 6 x 6 (NFBGA|87),ACTIVE
TLV320AIC3104,具有 6 个输入、6 个输出、耳机放大器和增强数字效果的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",2,2,6,6,96,Catalog,92,1.50 | 1ku,102,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3105,具有 6 个输入、6 个输出、耳机放大器和增强数字效果的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",2,2,6,6,96,Catalog,92,1.50 | 1ku,102,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3101,具有 6 个输入、6 个输出、扬声器/耳机放大器和增强数字效果的低功率立体声编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",2,2,6,6,96,Catalog,92,1.85 | 1ku,102,25 mm2: 5 x 5 (VQFN|32),ACTIVE
PCM3060,具有 96/192kHz 采样速率的 24 位异步立体声音频编解码器,订购和质量,"R,
L,
I2S",2,2,2,2,192,Catalog,99,2.03 | 1ku,105,62 mm2: 6.4 x 9.7 (TSSOP|28),ACTIVE
TLV320AIC3106,具有 10 个输入、7 个输出、耳机放大器和增强数字效果的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",2,2,10,7,96,Catalog,92,1.72 | 1ku,102,"25 mm2: 5 x 5 (BGA MICROSTAR JUNIOR|80), 49 mm2: 7 x 7 (VQFN|48)",ACTIVE
TLV320AIC29,具有 6 个音频输入和耳机/扬声器放大器的低功耗单声道 ADC/立体声 DAC,订购和质量,"L,
R,
I2S,
DSP",1,2,3,3,53,Catalog,90,3.15 | 1ku,95,49 mm2: 7 x 7 (VQFN|48),ACTIVE
TLV320AIC33,具有 10 个输入、7 个输出、耳机/扬声器放大器和增强数字效果的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",2,2,10,7,96,Catalog,90,3.04 | 1ku,100,"25 mm2: 5 x 5 (BGA MICROSTAR JUNIOR|80), 49 mm2: 7 x 7 (VQFN|48)",ACTIVE
TLV320AIC31,具有 6 输入、6 输出集成耳机/扬声器放大器以及 3D 效果的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP",4,4,6,6,96,Catalog,90,3.97 | 1ku,100,25 mm2: 5 x 5 (VQFN|32),ACTIVE
LM4546B,AC '97 编解码器（2.1 版），具有采样率转换和 National 3D Sound,订购和质量,I2S,2,2,6,2,48,Catalog,90,2.68 | 1ku,89,81 mm2: 9 x 9 (LQFP|48),ACTIVE
LM4549B,AC '97 编解码器（2.1 版），具有采样率转换和 National 3D Sound,订购和质量,I2S,2,2,7,3,48,Catalog,90,2.79 | 1ku,89,81 mm2: 9 x 9 (LQFP|48),ACTIVE
LM4550B,AC '97 编解码器（2.1 版），具有采样率转换和 National 3D Sound,订购和质量,I2S,2,2,7,4,48,Catalog,90,2.90 | 1ku,89,81 mm2: 9 x 9 (LQFP|48),ACTIVE
TLV320AIC12K,具有 8Ω 扬声器放大器的低功耗单声道语音频带编解码器,订购和质量,"DSP,
SMART TDM",1,1,3,3,26,Catalog,84,1.76 | 1ku,92,"34 mm2: 4.4 x 7.8 (TSSOP|30), 25 mm2: 5 x 5 (VQFN|32)",ACTIVE
TLV320AIC14K,低功耗单声道语音频带编解码器,订购和质量,"DSP,
SMART TDM",1,1,3,1,26,Catalog,84,1.31 | 1ku,92,34 mm2: 4.4 x 7.8 (TSSOP|30),ACTIVE
TLV320AIC32,具有 6 输入、6 输出、耳机/扬声器放大器和 3D 效果的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP",2,2,6,6,96,Catalog,90,2.86 | 1ku,100,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC20K,具有 8Ω 扬声器放大器的低功耗立体声语音频带编解码器,订购和质量,"DSP,
SMART TDM",1,1,5,4,26,Catalog,84,2.60 | 1ku,92,81 mm2: 9 x 9 (TQFP|48),ACTIVE
TLV320AIC24K,低功耗立体声语音频带编解码器,订购和质量,"DSP,
SMART TDM",1,1,5,3,26,Catalog,84,2.18 | 1ku,92,81 mm2: 9 x 9 (TQFP|48),ACTIVE
TLV320AIC22C,双 VoIP 编解码器,订购和质量,DSP, --- , --- ,5,4,16,Catalog,77,3.64 | 1ku,78,81 mm2: 9 x 9 (LQFP|48),ACTIVE
TLV320AIC23B-Q1,汽车立体声音频编解码器，8 至 96kHz，带集成式耳机放大器,订购和质量,"L,
R,
I2S,
DSP",1,1,3,4,96,Automotive,90,4.03 | 1ku,100,62 mm2: 6.4 x 9.7 (TSSOP|28),ACTIVE
TLV320AIC28,具有 6 个音频输入和耳机/扬声器放大器的低功耗单声道 ADC/立体声 DAC,订购和质量,"L,
R,
I2S,
DSP",1,2,6,5,53,Catalog,90,3.63 | 1ku,95,49 mm2: 7 x 7 (VQFN|48),ACTIVE
TLV320AIC26,具有耳机/扬声器放大器和 12 位测量 ADC 的低功耗单声道 ADC/立体声 DAC,订购和质量,"L,
R,
I2S,
DSP",1,2,2,2,53,Catalog,92,2.62 | 1ku,97,25 mm2: 5 x 5 (VQFN|32),ACTIVE
LM4930,具有立体声耳机和单声道扬声器放大器的音频子系统,订购和质量,"I2S,
PCM",1,3,2,3,48,Catalog,75,4.46 | 1ku,72,"12 mm2: 3.3 x 3.5 (DSBGA|36), 49 mm2: 7 x 7 (WQFN|44)",ACTIVE
AIC111,1.3V 微功率单通道编解码器,订购和质量,DSP,1,1,2,2,40,Catalog,87,5.93 | 1ku, --- ,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TSC2102,具有带耳机放大器的立体声 DAC 的 4 线触摸屏控制器,订购和质量,"I2S,
R,
L,
DSP",8,2,1,2,125,Catalog,97,2.38 | 1ku,97,89 mm2: 8.1 x 11 (TSSOP|32),ACTIVE
TLV320AIC23B,具有耳机放大器的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP",1,1,3,4,96,Catalog,90,3.10 | 1ku,100,"62 mm2: 6.4 x 9.7 (TSSOP|28), 25 mm2: 5 x 5 (VQFN|28)",ACTIVE
TWL1103T-Q1,汽车类语音频带音频处理器 (VBAP),订购和质量, --- ,0,0,2,2, --- ,Automotive,0,2.75 | 1ku,0,49 mm2: 7 x 7 (TQFP|32),ACTIVE
TLV320AIC24,低功耗立体声语音频带编解码器,订购和质量,"DSP,
SMART TDM",1,1,5,3,26,Catalog,84,6.60 | 1ku,92,81 mm2: 9 x 9 (TQFP|48),ACTIVE
TLV320AIC14,低功耗单声道语音频带编解码器,订购和质量,"DSP,
SMART TDM",1,1,3,1,26,Catalog,84,4.51 | 1ku,92,34 mm2: 4.4 x 7.8 (TSSOP|30),ACTIVE
TLV320AIC12,低功耗单声道语音频带编解码器,订购和质量,"DSP,
SMART TDM",1,1,3,3,26,Catalog,84,5.46 | 1ku,92,34 mm2: 4.4 x 7.8 (TSSOP|30),ACTIVE
TLV320AIC1106,具有麦克风放大器和扬声器驱动器的 PCM 编解码器,订购和质量,PCM,1,1,1,1,8,Catalog,0,2.50 | 1ku,0,42 mm2: 6.4 x 6.5 (TSSOP|20),ACTIVE
PCM3008,具有线性输出的低功耗低压立体声编解码器（H/W 控制）,订购和质量,"R,
L",2,2,2,2,48,Catalog,88,3.07 | 1ku,92,22 mm2: 4.4 x 5 (TSSOP|16),ACTIVE
TLV320AIC23,具有耳机放大器的低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
DSP",1,1,3,4,96,Catalog,90,3.65 | 1ku,100,62 mm2: 6.4 x 9.7 (TSSOP|28),ACTIVE
TLV320AIC1110,具有麦克风放大器和扬声器驱动器的可编程 PCM 编解码器,订购和质量,PCM,1,1,2,2,8,Catalog, --- ,2.71 | 1ku, --- ,49 mm2: 7 x 7 (TQFP|32),ACTIVE
TLV320AIC10,低功耗单声道语音频带编解码器,订购和质量,DSP,1,1,2,1,22.05,Catalog,87,2.81 | 1ku,90,81 mm2: 9 x 9 (TQFP|48),ACTIVE
PCM3500,低电压、低功耗、16 位、单声道 SoundPlus™ 语音/调制解调器编解码器,订购和质量,DSP,1,1,1,1,26,Catalog,88,3.10 | 1ku,92,64 mm2: 7.8 x 8.2 (SSOP|24),ACTIVE
TLC320AD545,具有混合运算放大器和扬声器驱动器的单通道编解码器,订购和质量,N/A,1,1,1,1,11.025,Catalog,78,3.48 | 1ku,87,81 mm2: 9 x 9 (LQFP|48),ACTIVE
PCM3002,具有线性输出的低功耗立体声编解码器（S/W 控制）,订购和质量,"R,
L,
I2S",2,2,2,2,48,Catalog,90,3.88 | 1ku,94,64 mm2: 7.8 x 8.2 (SSOP|24),ACTIVE
TLC320AD50,具有主从功能（3 个从器件）和 89dB SNR 的单通道编解码器,订购和质量, --- ,0,0,2,2,22.05,Catalog,0,21.92 | 1ku,0,"81 mm2: 9 x 9 (LQFP|48), 184 mm2: 10.3 x 17.9 (SOIC|28)",ACTIVE
TLC320AC02,独立于采样速率的单通道编解码器带宽,订购和质量, --- ,0,0,2,1,25,Catalog,0,4.68 | 1ku,0,"100 mm2: 10 x 10 (LQFP|64), 155 mm2: 12.45 x 12.45 (PLCC|28)",ACTIVE
TLC320AC01,独立于采样速率的单通道编解码器带宽,订购和质量, --- ,0,0,2,1,25,Catalog,0,5.34 | 1ku,0,"100 mm2: 10 x 10 (LQFP|64), 155 mm2: 12.45 x 12.45 (PLCC|28)",ACTIVE
